Usuario;Coorporativa;soyvaldiviacl;latercera;elmostrador
munox_rosa;0;0.313597;0.414474;0.27193
Longa41366499;0.223214;0.214286;0.267857;0.294643
FelipeMonteroC3;0;0;0;1
Luislir37590649;0.225;0.260714;0.225;0.289286
Geraldi30268408;0;0;0;1
leivacan;0.178571;0.303571;0.285714;0.232143
Vector05542099;0.205357;0.294643;0.258929;0.241071
skiesxd1;1;0;0;0
Cris70342433;0.289286;0.236905;0.236905;0.236905
Yolanda85327706;0.28125;0.236607;0.28125;0.200893
masajepareja;0;0.325;0;0.675
alejand82598253;0.252976;0.301339;0.172619;0.273065
Katheri46844683;0.233442;0.306818;0.22987;0.22987
ivhott3;0;1;0;0
DaniloCisterna9;0.294643;0.252976;0.22619;0.22619
patty26352885;0;1;0;0
anwandter07;0;1;0;0
GiovaniMolina9;0;1;0;0
marco66herrera;0.302521;0.26917;0.206933;0.221376
CofreVegas;0.301339;0.267113;0.164435;0.267113
Joaquin84072802;0;0;1;0
Benjami93794459;0.307692;0.25641;0.205128;0.230769
JavieraRios4;0;1;0;0
SilvaRodigo;0;1;0;0
Nelson68318163;0.5;0;0.5;0
SelenofiliaL;0.322368;0.263158;0;0.414474
Cesar15640296;0.28;0.72;0;0
JessPin68723096;0.235819;0.235819;0.22584;0.302521
mallea_clau;0.306122;0.280612;0.173469;0.239796
AnaElenaBarria1;0.5;0;0.5;0
Rutgia;0.252551;0.247449;0.201531;0.298469
Gabriel02744406;0.27551;0.173469;0.27551;0.27551
Nelson30374376;0.215659;0.296703;0.234432;0.253205
AmacristiP;0.25;0.75;0;0
CesarRi11107977;0.5;0;0.5;0
MarioZi12817978;0;0;0;1
LuisBasualto12;0;0;0.5;0.5
Gloriam26335442;0;1;0;0
24genco;0.305357;0.276786;0.208929;0.208929
ale_paradise93;0;0;0;1
DionFortune6;0.222403;0.292208;0.233766;0.251623
JudiaAron;0.210714;0.263095;0.22619;0.3
Macaren31303815;0.267857;0.196429;0.267857;0.267857
Marce4172;0;1;0;0
Diegs87711149;0.305357;0.273214;0.200595;0.220833
charleshein93;0.23852;0.298469;0.23852;0.22449
CMIRAND88302978;0;0;0;1
mbmmaipo;0.22987;0.306818;0.22987;0.233442
Mathelo16;0.166667;0.261905;0.285714;0.285714
andres16552382;0.28;0;0;0.72
kam190;0.222527;0.233516;0.247253;0.296703
PABLOALBORNOZ21;0.252976;0.157738;0.294643;0.294643
ohhhKarol;0.25;0;0;0.75
evedafazu;0;1;0;0
Anita48877237;0;0;1;0
Su27809528;0;1;0;0
Julio01438910;0.264456;0.252551;0.184524;0.298469
Kite90666948;0;0;0.5;0.5
CorvMauro;0.289286;0.236905;0.236905;0.236905
Mr_Hadray;0;1;0;0
Elizabe36233624;1;0;0;0
cami2672;0;1;0;0
JoseAnt54146527;0.220879;0.309066;0.203297;0.266758
JesseniaLobos;1;0;0;0
LeticiaRiveraL;0;0.325;0;0.675
MarioCa49795871;1;0;0;0
EduardoUrquejo;0;1;0;0
pablo33823662;0.302521;0.254727;0.178046;0.264706
mnesitheos;0.267857;0.196429;0.267857;0.267857
mvallepintor;0.151786;0.258929;0.294643;0.294643
MaraJos77157542;0.168367;0.22449;0.303571;0.303571
clauxilena;0.231456;0.280907;0.190934;0.296703
Alejandro198215;0.206633;0.298469;0.247449;0.247449
JorgeSa65669897;0.3;0.266071;0.210714;0.223214
1960Thesociety;0.268304;0.235268;0.195089;0.301339
FcoUlloaMontes;0;0.72;0.28;0
LoretoCorrea4;0.198004;0.273634;0.22584;0.302521
Cristia04788564;0.206933;0.26917;0.221376;0.302521
cbazignan1;1;0;0;0
moonniexiao;0;0;1;0
mogulhd2k;0.296703;0.259158;0.196886;0.247253
