followee;follower;id_followee;id_follower;followee_count;followers_count
AngeliniIsidora;Nataly61572534;28185;1407;5;0
Cooperativa;Paulett97497010;0;660;49;0
TAXISCHILENOS;Paulett97497010;35482;660;49;0
anitapetita;Paulett97497010;22363;660;49;0
mamut_saez;Paulett97497010;13245;660;49;0
Cooperativa;Orlndo20;0;2583;201;15
Cooperativa;jacquel44803423;0;2436;56;2
latercera;jacquel44803423;2;2436;56;2
elmostrador;jacquel44803423;3;2436;56;2
arielpangui;jacquel44803423;21654;2436;56;2
leiva_retamal;jacquel44803423;293;2436;56;2
Cooperativa;chile_comics;0;487;30;1
whynotsaint;chile_comics;22339;487;30;1
Cooperativa;alejand36143317;0;2449;21;0
latercera;alejand36143317;2;2449;21;0
Cooperativa;Coni14402669;0;1991;12;0
Cooperativa;frangorziglia;0;1859;132;5
Cooperativa;Andres24152509;0;1352;102;3
valle_cvallep;Andres24152509;20576;1352;102;3
50Viejo;Andres24152509;22789;1352;102;3
Cooperativa;Carol__1030;0;2824;48;57
alsoca85carcamo;Carol__1030;27067;2824;48;57
Cooperativa;luisa_hazel;0;1629;52;2
latercera;luisa_hazel;2;1629;52;2
Cooperativa;SEBASTI29273113;0;2513;106;6
latercera;SEBASTI29273113;2;2513;106;6
elmostrador;SEBASTI29273113;3;2513;106;6
jacquel44803423;SEBASTI29273113;2436;2513;106;6
Cooperativa;Faraendam;0;123;48;1
EsterMedinaAcu1;Faraendam;24005;123;48;1
josefinabenoit;Faraendam;27495;123;48;1
Cooperativa;Elosaalmendari1;0;1913;20;6
trinibrowne;Elosaalmendari1;6074;1913;20;6
Cooperativa;Clo_Tapia;0;734;88;17
Cooperativa;KimberlyQuija16;0;1463;16;0
latercera;KimberlyQuija16;2;1463;16;0
Cooperativa;FabinTori1;0;2011;7;0
Cooperativa;Yeye07292620;0;1602;11;1
elmostrador;Yeye07292620;3;1602;11;1
HMunAra;Yeye07292620;26011;1602;11;1
FlavioGol2;Yeye07292620;5004;1602;11;1
Cooperativa;Mara90103439;0;2499;19;0
elmostrador;Mara90103439;3;2499;19;0
Cooperativa;Ricardo80999606;0;2246;34;1
Bemfica19;Ricardo80999606;30498;2246;34;1
Cooperativa;Ossandon71;0;534;25;5
latercera;Ossandon71;2;534;25;5
elmostrador;Ossandon71;3;534;25;5
Cooperativa;Sebasti65991338;0;1504;18;0
Cooperativa;AmiyahNP;0;229;137;12
El22TiraElCarro;AmiyahNP;12169;229;137;12
Cooperativa;Patriciacarocag;0;2557;10;9
Cooperativa;ElizabethCaroc5;0;1035;2;0
Cooperativa;sreyesnovoa;0;2732;26;1
Cooperativa;makanaki1995;0;2713;158;2
latercera;makanaki1995;2;2713;158;2
elmostrador;makanaki1995;3;2713;158;2
Acuipesca1;makanaki1995;9177;2713;158;2
Cooperativa;Patrici87966788;0;2549;2;0
AlvarezPesca;Patrici87966788;16763;2549;2;0
Cooperativa;millaraysanch17;0;460;13;0
Cooperativa;CidAdamaris;0;1923;44;1
elfisho;CidAdamaris;9801;1923;44;1
Cooperativa;Brian92682418;0;649;13;0
CBadulaque;Brian92682418;24303;649;13;0
Cooperativa;AvilaArqueros;0;1454;33;0
Cooperativa;Timba06577617;0;2535;21;6
elmostrador;Timba06577617;3;2535;21;6
osakaumedagal;Timba06577617;37205;2535;21;6
Cooperativa;LebuFelipe;0;1985;45;13
CamiFreedom;LebuFelipe;2890;1985;45;13
RevistaelFrente;LebuFelipe;8009;1985;45;13
AnadeColores;LebuFelipe;26307;1985;45;13
Clau15656394;LebuFelipe;580;1985;45;13
Cooperativa;AntoFica1;0;1435;34;0
latercera;AntoFica1;2;1435;34;0
Cooperativa;MuguiG;0;449;306;117
Cooperativa;luisAli38938166;0;1190;71;5
latercera;luisAli38938166;2;1190;71;5
Cooperativa;JoaquinsotoA;0;1678;72;21
CuencaRanco;JoaquinsotoA;7672;1678;72;21
Eduar2Lm;JoaquinsotoA;11209;1678;72;21
chacon_lency;JoaquinsotoA;22036;1678;72;21
Cooperativa;YonatthanG;0;2058;11;1
